SYMBOL,27-Nov-20,30-Oct-20,30-Sep-20,31-Aug-20,31-Jul-20,30-Jun-20,29-May-20,30-Apr-20,31-Mar-20,28-Feb-20,31-Jan-20
BBL,1656.15,683.45,685.85,2.3,384.85,9.2,491.75,6.3,226.8,18.45,290.25
BBTC,88.8,1211.15,1304,1477.05,7.4,14.35,52.85,12.9,144.2,274.15,9.5
BCG,1572.9,27.5,5.6,89.2,12.25,88.65,228.2,72.1,20.95,7,16.45
BCP,5046.8,5.15,4.7,1299.05,95.85,638.65,154.9,586.3,75.65,13.5,90.65
BDL,870.4,4.95,314.75,5815.05,640.6,46.05,26.05,38.4,14.3,73.95,976.9
BEARDSELL,1319.75,289.4,8.85,801.5,42.9,493.9,105.25,508.4,20,745.85,49.95
BEDMUTHA,4.9,8.85,18.4,1348.45,526.5,61.5,14.6,53.1,0.75,41.15,560.15
BEL,4.85,18.8,95.75,8.85,79.1,307.75,19.6,244.1,234.95,566.55,65
BEML,327.7,87,610.45,5.45,297.45,204.1,0.85,173.6,25.5,59.75,320.05
BEPL,8.25,615.65,72.55,396,218.45,34.8,326.05,24.75,5159.6,306.25,302.75
BERGEPAINT,20.35,82.25,583.7,8.8,39.7,110.8,38.2,106.9,11.2,272.9,1.4
BETA,111.1,623.05,101,15.85,119.7,17.95,6768.9,15.15,440.9,1.25,38.3
BFINVEST,724.1,118,278.9,106.1,15.5,21.3,17,18.4,20.8,34.65,113.75
BFUTILITIE,120,265.15,237.5,668,22.85,1.75,552.6,0.95,28.5,124.6,20.85
BGRENERGY,647.75,239.55,34.2,59.2,1.25,319.35,28,309.2,73.15,18.1,22.95
BHAGERIA,118.6,32.1,129.55,537.7,381.95,44.45,23.6,41.1,0.5,22.5,1.25
BHAGYANGR,274.75,129.1,18.5,84.35,39.5,7459.15,86.25,6854.9,7.5,1.05,490.65
BHAGYAPROP,256.9,16.9,22.05,306,9370.3,23.4,0.65,17.6,270.55,435.4,60.4
BHANDARI,37.5,23,1.05,256.05,20.25,559.85,9.1,514.3,7.5,39.6,6443.1
BHARATFORG,136.7,1.1,447.55,41.05,554.85,35.7,354.7,22.45,32.5,7201,27
BHARATGEAR,19,451.3,48.05,131.05,35.95,29.6,13.45,29.45,415.05,24.9,496.45
BHARATRAS,22.95,49.2,9054,16.6,41.5,140.55,39.65,94.3,19.3,523.5,42.75
BHARATWIRE,1.2,8620.25,23.55,22.05,120.4,1.35,518.5,0.65,3,30.6,37.5
BHARTIARTL,508.35,23.85,420.95,1.25,0.9,13.6,24.5,8.95,0.4,34.75,175
BHEL,51.9,433.75,29.25,491.2,9.65,390.1,16.05,353.95,3.2,131.4,0.9
BIGBLOC,9548,28,55.5,53.75,409.6,12.8,0.6,15.1,100.75,0.55,14
BIL,27.1,73.3,159.65,9193.05,27.35,49.25,3.15,41.45,4.7,10.45,294.35
BILENERGY,463.25,131.1,0.75,28.45,47.2,578.85,93.7,409.5,29.15,286.9,12.3
BINDALAGRO,32.85,0.8,11.75,513.1,599.25,33.95,3.9,26.9,0.1,8,57.1
BIOCON,89.9,11.4,447.7,38.55,34.65,45.95,31.2,6.65,4.2,40.05,796.5
BIOFILCHEM,142.2,403.6,54.35,45.95,19.35,1.5,3.25,0.55,2199.05,692.55,34
BIRLACABLE,0.8,100.95,51.8,178.75,1.2,6.05,2002.95,3.45,459.45,32.85,0.55
BIRLACORPN,13.1,48.15,666.1,0.9,4.4,96.95,490.75,97.95,42.4,6.45,4.85
BIRLAMONEY,429.35,640.05,39.45,12.6,107.3,6,43.9,4.65,0.55,0.45,141.95
BIRLATYRE,218.75,42.2,20.35,376.15,5.55,65.1,1.7,29.35,45.8,3.5,9
BKMINDST,53.4,19.5,1,34.1,78.2,2042.1,47.7,4.4,37.25,99.4,66.45
BLBLIMITED,708.85,0.6,5.6,56.55,2066.35,499.65,34.95,2233.85,9395.55,7.2,0.7
BLISSGVS,43.7,4.8,170.2,616.2,486.4,59.7,9721.15,533.05,316.9,62.1,2721.25
BLKASHYAP,21.3,170.3,6.6,37.25,73.6,1.7,342.8,52.45,11.05,0.75,839.75
BLS,1,5.3,88.3,24.65,59,72.35,14.35,0.8,3,2748.5,73.15
BLUEDART,4.7,82.6,3173.35,1,144.4,132.8,3.95,51.6,130.15,802.55,94.45
BLUESTARCO,170.7,3696.3,641.15,5.7,77.75,11418.1,100.3,37.4,2688.95,69.9,174
BODALCHEM,7.7,627.65,66.3,143.4,13078.65,374,6,10612.45,31.62,69.05,13885.7
BOMDYEING,80.3,59.95,62.95,7.35,413.8,22.35,3378.85,370,33.05,181.95,456.95
BOROLTD,3995.35,61.75,148,98.4,18.35,9.1,32.63,15.85,15.25,12128.45,22.5
BORORENEW,811.85,143.6,72.95,0.85,8.95,135.95,38.95,4.05,296.8,426.35,3.8
BOSCHLTD,71.65,92.2,13730.05,0.1,140.45,14.35,27.25,119.55,0.75,16.9,239.6
BPCL,0.95,11610.15,353.05,4.4,3823.6,3603.8,377.9,8.2,107.85,4.05,3200.7
BPL,71,354.45,18.3,2188.7,33.45,33.07,0.85,3165.75,18.6,231.55,31.68
BRFL,158.4,17.35,10.2,635.8,34.55,35.4,110,32.34,4039.6,2970.2,69.65
BRIGADE,125.7,9.45,162.9,68.7,33.15,30.7,19.95,42.3,101.9,31.99,44.5
BRIGHT,12816.1,179.25,7.35,1.7,514.95,443.75,4298.8,35.15,61,52.4,533.4
BRITANNIA,373,6.1,3798.15,68.6,1.15,1.55,110.98,390.75,0.7,22.6,107.5
BRITANNIA,23.4,3473.25,31.69,159.9,108.5,107.9,74.5,0.95,95.75,453,34.3
BRNL,10.8,31.79,30.8,77.45,23.1,25.45,0.95,111.45,7.55,0.85,3784
BROOKS,218.7,29.3,65.2,12814,4953.75,4473.15,109.55,21.85,8.8,99.2,130.83
BSE,6.35,50.85,545.75,407.8,122.15,111.98,10.85,4482.1,267.25,29.1,79.35
BSELINFRA,3637.95,493.35,1.05,20.6,120.3,89.45,9.4,112.08,7.75,3882.05,1.2
BSHSL,31.89,1.2,94,14.7,1.35,2.1,344.6,72.85,39,122.43,228.6
BSL,30.15,89,25.2,174.65,118.85,133.35,20.5,0.8,90.5,89.7,20.65
BSLGOLDETF,65.1,33.05,4666.6,8.5,12.85,13.95,7.7,108.5,1.1,1,265.55
BSLNIFTY,553.4,4646.95,123.55,3726.05,14.4,12,40.85,10.25,279.05,181.95,13.95
BSOFT,1,128.1,195.2,31.51,388.4,353.1,83.8,9.7,201.3,11.65,78.15
BURNPUR,91.85,178.75,1.4,33.95,8.05,26,3.15,323.95,73.4,16.2,202.65
BUTTERFLY,30.2,98,284,37.7,74.15,9.85,277.25,8.4,282.4,260.05,2.3
BVCL,4499.9,1.65,13.8,498.25,101.85,52.55,223.3,39.15,50.7,13.1,484.05
